country,pop,tests,testpop,density,medianage,urbanpop,quarantine,schools,restrictions,hospibed,smokers,sex0,sex14,sex25,sex54,sex64,sex65plus,sexratio,lung,femalelung,malelung
Mauritania,"4,649,658",,,5,20,57,,,,0.4,23.85,1.03,1.01,0.96,0.86,0.82,0.74,0.93,19.71,16.5,24.08
Mauritius,"1,271,768",,,626,37,41,,,,3.4,21.7,1.05,1.04,1.02,1,0.9,0.68,0.97,30.56,17.36,48.62
Mayotte,"272,815",,,728,20,46,,,,7,,,,,,,,,,,
Mexico,"128,932,753",,,66,29,84,,,,1.5,13.7,1.05,1.05,1.03,0.93,0.85,0.82,0.96,27.85,23.43,33.14
Moldova,"4,033,963",,,123,38,43,,,,5.8,25.55,1.06,1.06,1.07,1.01,0.85,0.62,0.95,17.13,9.21,29.88
Monaco,"39,242",,,26337,54,100,,,,13.8,,1.04,1.06,1.06,1,0.99,0.81,0.95,,,
Mongolia,"3,278,290",,,2,28,67,,,,7,26.5,1.05,1.04,1.02,0.94,0.85,0.69,0.96,13.4,9.3,18.76
Montenegro,"628,066",,,47,39,68,,,,4,,1.06,0.97,0.83,1.17,1,0.66,0.99,17.6,10.7,26.47
Morocco,"36,910,560",,,83,30,64,,,,1.1,23.4,1.05,1.03,0.99,0.94,0.99,0.82,0.97,10.39,7.51,13.73
Namibia,"2,540,905",,,3,22,55,,,,2.7,25.15,1.03,1.02,0.99,0.91,0.82,0.75,0.96,43.86,29.39,65.58
Nepal,"29,136,808",,,203,25,21,,,,0.3,24.1,1.04,1.07,1,0.82,0.95,0.86,0.95,100.75,94.59,107.64
Netherlands,"17,134,872",6000,2855.812,508,43,92,,3/15/2020,3/15/2020,4.7,25.05,1.05,1.05,1.04,1.01,0.99,0.82,0.98,26,22.74,30.36
New Zealand,"4,822,233",584,8257.248288,18,38,87,3/23/2020,,,2.8,,1.05,1.05,1.06,1,0.95,0.86,0.99,21.88,19.66,24.61
Nigeria,"206,139,589",,,226,18,52,,,,0.3,9.25,1.06,1.05,1.04,1.05,0.95,0.91,1.04,21.14,19.65,22.75
North Macedonia,"2,083,374",,,83,39,59,,,,4.4,,1.08,1.07,1.07,1.03,0.96,0.75,0.99,22.14,15.16,30.89
Norway,"5,421,241",18062,300.1462186,15,40,83,,3/12/2020,3/12/2020,3.9,22.25,1.06,1.05,1.05,1.06,1.02,0.84,1.02,26.13,23.51,29.49
Oman,"5,106,626",,,16,31,87,,,,1.6,11,1.05,1.05,1.1,1.38,1.14,0.99,1.19,10.87,9.06,12.54
Pakistan,"220,892,340",531,415993.1073,287,23,35,,,,0.6,22.45,1.05,1.06,1.06,1.08,1.01,0.88,1.06,50.61,35.5,64.92
Panama,"4,314,767",756,5707.363757,58,30,68,,,,2.3,6.6,1.05,1.04,1.04,1.03,0.98,0.85,1.01,24.25,19.96,29.06
Paraguay,"7,132,538",,,18,26,62,,3/10/2020,3/10/2020,1.3,18.1,1.05,1.04,1.01,1,1.04,0.88,1.01,19.1,12.7,26.11
Peru,"32,971,854",,,26,31,79,3/15/2020,,,1.6,,1.05,1.04,1,0.92,0.94,0.9,0.97,17.69,14.94,20.96
Philippines,"109,581,078",1030,106389.3961,368,26,47,,,,1,25.75,1.05,1.04,1.04,1.03,0.84,0.72,1.01,44.52,27.04,67.56
Poland,"37,846,611",7899,4791.316749,124,42,60,,3/11/2020,3/20/2020,6.5,28.05,1.06,1.06,1.05,1.02,0.9,0.64,0.94,16.16,9.98,25.9
Portugal,"10,196,709",,,111,46,66,,3/19/2020,3/19/2020,3.4,22.6,1.07,1.09,1.13,1.03,0.88,0.69,0.96,13.35,9.14,19.18
Puerto Rico,"2,860,853",,,323,44,88,3/16/2020,3/16/2020,,3.319999933,,1.02,1.04,1.05,0.92,0.83,0.76,0.91,,,
Qatar,"2,881,053",,,248,32,96,,,,1.2,,1.02,1.03,2.64,4.91,3.38,1.71,3.41,7.87,5.37,9.21
Republic of the Congo,"5,518,087",,,16,17,46,,,,0.8,,1.03,1.01,1,1,0.89,0.73,1,34.27,33.07,35.86
Reunion,"895,312",,,358,36,100,,,,10.2,,,,,,,,,,,
